ID_HerramientasQS,NumeroSerie,NumeroReparacion,Tipo,Fabricante,Modelo,Ejecución,Estado
3410,300523,300523,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3411,300524,300524,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3412,300525,300525,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3413,300526,300526,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3414,300527,300527,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3415,300528,300528,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en la bodega / Im Lager
3416,300529,300529,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3417,300530,300530,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3418,300531,300531,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,Baja por Dañado / Geschädigt
3419,300532,300532,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
342,09062602,100216,Destornillador EC,AMT,HCX1025WV38L,Atornillador angular / Winkelschrauber,en mantenimiento / Wartung/Rep
3420,300533,300533,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3421,300534,300534,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3422,300535,300535,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3423,300536,300536,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3424,300537,300537,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3425,300539,300539,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en la bodega / Im Lager
3426,300540,300540,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3427,300541,300541,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,Baja por Dañado / Geschädigt
3428,300542,300542,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en mantenimiento / Wartung/Rep
3429,300543,300543,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
343,09062603,100215,Destornillador EC,AMT,HCX1025WV38L,Atornillador angular / Winkelschrauber,en el servicio / im Betrieb
3430,300544,300544,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3431,300545,300545,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3432,300546,300546,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3433,300547,300547,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3434,300548,300548,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3435,300549,300549,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3436,300550,300550,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3437,300551,300551,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3438,300552,300552,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3439,300553,300553,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
344,09062605,100126,Destornillador EC,AMT,HCX1026ZL,Atornillador angular / Winkelschrauber,en mantenimiento / Wartung/Rep
3440,300554,300554,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3441,300555,300555,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3442,300556,300556,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3443,300557,300557,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en la bodega / Im Lager
3444,300558,300558,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3445,300559,300559,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3446,300560,300560,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3447,300561,300561,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3448,300562,300562,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3449,300563,300563,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
345,09062606,100127,Destornillador EC,AMT,HCX1026ZL,Atornillador angular / Winkelschrauber,en el servicio / im Betrieb
3450,300564,300564,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3451,300565,300565,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
